Name,volume,group_games,college_life_and_alumni,sports,art_and_culture,comedy,theater_and_performing_arts,outdoor_recreation,seasonal_and_holidays,educational_events,local_and_neighborhood_pride,classical_music,pop_rock,alternative_rock,electronic_music,hip_hop_and_rnb,jazz_and_blues,country_and_folk,festivals_fairs_and_attractions,movies_and_cinema
concert,1300,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0
party,1282,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
club,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
nightlife,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
culture,1208,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
vbb,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
health,1190,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
trumba,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
randb,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
junior,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
outdoors,1164,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
library,1143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
alternative,1136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
indie,1099,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
professional,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
storytime,1066,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
play,1057,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
singles_social,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
theatre,1031,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
movies,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
play,1004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
rap_hiphop,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
park,976,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
performance,963,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
week,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
added,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
american towns,926,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
recreation,915,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
city,895,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dj,882,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
miscellaneous,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
performance,858,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0
academic,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dotcalwine,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
university,835,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
world,823,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10k,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metal,802,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
lecture,788,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
shows,772,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0
active,762,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drink,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
musical,751,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pop,751,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
children,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cinema,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
conferences,748,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
family,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
live,737,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0
movie,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walking,734,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
soccer,733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
